genres,id,keywords,original_language,production_companies,title,cast,index
  Romance  Drama  History  War  Music,11661,  holiday  world war i  hostility  singer  singing  christmas,fr, Senator Film Produktion  Media Pro Pictures  TF1 Films Production  Nord-Ouest Productions  The Bureau  Art\u00e9mis Productions  Les Productions de la Gu\u00e9ville,Joyeux Noël,  Diane Kruger  Natalie Dessay  Benno F\u00fcrmann  Guillaume Canet  Gary Lewis,2052
  Action  Comedy  Romance,109513,  witness protection  getaway driver  duringcreditsstinger,en, Primate Pictures  Kim and Jim Productions  Panay Films  Exclusive Media Group,Hit & Run,  Kristen Bell  Dax Shepard  Tom Arnold  Kristin Chenoweth  Michael Rosenbaum,2053
  Action  Comedy  Crime,12085,  gang  hoodlum  woman director,en, Millennium Films  verture Films,Mad Money,  Diane Keaton  Queen Latifah  Katie Holmes  Ted Danson  Roger Cross,2054
  Mystery  Thriller,204922,  amnesia  therapist  aggression  hospital  flashback,en, StudioCanal  Scott Free Productions  Millennium Films  Film i V\u00e4st  Filmgate Films  Clarius Entertainment,Before I Go to Sleep,  Nicole Kidman  Colin Firth  Mark Strong  Anne-Marie Duff  Jing Lusi,2055
  Action  Thriller  Adventure,38985,  dynamite  car journey  nicaragua  criminal  bandit  explosives  latin america  rope bridge  transport  nitroglycerin  oil company  existentialism  dangerous mission,en, Paramount Pictures  Universal Pictures  Film Properties International N.V.,Sorcerer,  Roy Scheider  Bruno Cremer  Francisco Rabal  Amidou  Ramon Bieri,2056
  Drama,44113,  prison  fire  manipulation  seduction  vegetarian  playground  deception  arson  parole  arsonist  convict  house fire,en, Stone Productions  Mimran Schur Pictures,Stone,  Frances Conroy  Robert De Niro  Edward Norton  Milla Jovovich  Enver Gjokaj,2057
  Romance  Drama  Comedy,21494,  playwright,fr, ],Moliere,  Romain Duris  Fabrice Luchini  Edouard Baer  Ludivine Sagnier  Laura Morante,2058
  Thriller  Drama  Crime,164457,  prison  brother brother relationship  drug dealer  brother  revenge  drug use  car accident  justice  family  bare knuckle fighting  rust belt  neo-noir  manslaughter  social decay  ptsd,en, Appian Way  Scott Free Productions  Relativity Media  Energy Entertainment  Red Granite Pictures,Out of the Furnace,  Christian Bale  Zoe Saldana  Woody Harrelson  Sam Shepard  Willem Dafoe,2059
  Drama  Mystery  Crime,4566,  killing  restaurant  chambers of a barrister  scandal  pretended suicide  lawsuit  car bomb  business ethics  crooked lawyer,en, Castle Rock Entertainment  Mirage Enterprises  Section Eight Productions,Michael Clayton,  George Clooney  Tom Wilkinson  Tilda Swinton  Sydney Pollack  Michael O'Keefe,2060
  Comedy  Drama,17795,  white house  usa president  national security agency (nsa)  danger  sable  writ,en, Warner Bros.  Storyline Entertainment  Peters Entertainment,My Fellow Americans,  Jack Lemmon  James Garner  Dan Aykroyd  John Heard  Wilford Brimley,2061
  Drama  Thriller  Mystery,1073,  bomb  terrorist  fbi  professor  paranoia  college  wife  politics  army  murder  suspense  neighbor  agent  blueprint  classified  neo-noir,en, Lakeshore Entertainment  Screen Gems  Arlington Road Productions Corporation  Gorai / Samuelson Productions  Samuelson Productions,Arlington Road,  Jeff Bridges  Tim Robbins  Joan Cusack  Hope Davis  Robert Gossett,2062
  Animation  Adventure  Romance,153158,  soccer,es, 100 Bares  Ministerio de Cultura  Instituto de Cr\u00e9dito Oficial (ICO)  Televisi\u00f3n Federal (Telefe)  369 Productions  Catmandu Branded Entertainment  JEMPSA  Plural - Jempsa  Prana Animation Studios,Underdogs,  Juan Jos\u00e9 Campanella  Diego Ramos  Pablo Rago  Axel Kuschevatzky  David Masajnik,2063
  Romance  Comedy,81836,  rome  expatriate  episodic,en, Gravier Productions  Medusa Film  Mediapro  Perdido Productions,To Rome with Love,  Ellen Page  Woody Allen  Jesse Eisenberg  Pen\u00e9lope Cruz  Alec Baldwin,2064
  Science Fiction  Action  Adventure  Thriller,10724,  flying  pilot  kampfjet  false identity  assault  suspense,en, Malpaso Productions,Firefox,  Clint Eastwood  Freddie Jones  David Huffman  Warren Clarke  Ronald Lacey,2065
  Animation  Comedy  Music,9473,  gay  mount rushmore national memorial  swear word  mephisto  hell  world supremacy  elementary school  saddam hussein  blood splatter  atheist  sequel  surrealism  friends who hate each other  satan  based on tv series  cartoon sex  child swearing  visions of hell  u.s. canada war  shot to death  adult animation  south park colorado,en, Paramount Pictures  Scott Rudin Productions  Comedy Central  Warner Bros.  Comedy Central Films  Comedy Partners,"South Park: Bigger, Longer & Uncut",  Trey Parker  Matt Stone  Mary Kay Bergman  Isaac Hayes  George Clooney,2066
  Comedy  Drama,2196,  brother brother relationship  farewell  father son relationship  age difference  parents kids relationship  secret  sadness  coffin  funeral  gathering  surprise  lsd  studies  hallucinogen  drug trip  arrogance  female corpse,en, Sidney Kimmel Entertainment  Parabolic Pictures  Stable Way Entertainment  Target Media Entertainment  VIP 2 Medienfonds  VIP 1 Medienfonds,Death at a Funeral,  Matthew Macfadyen  Keeley Hawes  Andy Nyman  Ewen Bremner  Daisy Donovan,2067
  Action  Adventure  Comedy  Family  Fantasy  Science Fiction,1499,  japan  time travel  ninja,en, New Line Cinema  Golden Harvest Pictures  Clearwater Holdings Limited,Teenage Mutant Ninja Turtles III,  Paige Turco  Stuart Wilson  Sab Shimono  Vivian Wu  Mark Caso,2068
  Comedy  Romance,20857,  gay,en, Paramount Pictures  GHS Productions KG  Munich Film Partners & Company (MFP) GHS Productions  Nides/McCormick Productions,Hardball,  Keanu Reeves  Diane Lane  Michael B. Jordan  D. B. Sweeney  John Hawkes,2069
  Drama  Comedy  Romance,82693,  dancing  philadelphia  running  based on novel  depression  letter  friendship  neighbor  mental illness  ex-wife  institutionalization  bipolar  philadelphia eagles,en, The Weinstein Company,Silver Linings Playbook,  id: 51329  id: 72129  gender: 2  gender: 1  gender: 2,2070
  Crime  Drama,1646,  black people  based on novel  holocaust  ghetto  diary  principal witness   biography  daughter  high school  racial segregation  anne frank  school excursion  idealism  violence in schools  racial tension  gang violence  based on true events,en, Double Feature Films  Jersey Films  Kernos Filmproduktionsgesellschaft & Company,Freedom Writers,  Hilary Swank  Scott Glenn  Imelda Staunton  Patrick Dempsey  Mario,2071
  Drama,44944,  female nudity  poem  rape  love  domestic violence  womanhood,en, Lions Gate Films,For Colored Girls,  Kimberly Elise  Janet Jackson  Loretta Devine  Thandie Newton  Anika Noni Rose,2072
  Action  Crime  Thriller,4108,  car journey  transportation  auto  human trafficking,en, TF1 Films Productions  Current Entertainment  Canal+  EuropaCorp,The Transporter,  Jason Statham  Shu Qi  Fran\u00e7ois Berl\u00e9and  Matt Schulze  Ric Young,2073
  Drama  Action,8456,  rebel  martial arts  underground  fight  training  champion  sport  high school  party  revenge  blood  nemesis  violence  club  brawl,en, Summit Entertainment  Mandalay Pictures  Baumgarten Management and Productions (BMP),Never Back Down,  Sean Faris  Amber Heard  Cam Gigandet  Djimon Hounsou  Evan Peters,2074
  Horror  Thriller  Science Fiction,7341,  suicide  male nudity  female nudity  fire  nudity  asylum  telekinesis  high school  swimming pool  party  sequel  murder  prom  teacher  decapitation  blood  splatter  weightlifting  teen suicide  woman director,en, United Artists  Red Bank Films,The Rage: Carrie 2,  Emily Bergl  Jason London  Amy Irving  J. Smith-Cameron  Dylan Bruno,2075
  Drama  Comedy  Romance,19255,  interracial relationship  dead father  reference to bob dylan  biracial  bedtime story  unmarried couple  medical illustrator  disguised voice  reference to huckleberry finn  student protest  sonogram  expectant grandmother  dead parents  testicles,en, Neal Street Productions  Focus Features  Big Beach Films,Away We Go,  John Krasinski  Maya Rudolph  Carmen Ejogo  Catherine O'Hara  Jeff Daniels,2076
  Drama  Comedy,10187,  usa president  presidential election  fox news,en, Touchstone Pictures,Swing Vote,  Kevin Costner  Madeline Carroll  Paula Patton  Kelsey Grammer  Dennis Hopper,2077
  Romance  Drama,31005,,en, Punch Productions  Touchstone Pictures  Hyde Park Entertainment  Reveal Entertainment  Gran Via,Moonlight Mile,  Jake Gyllenhaal  Dustin Hoffman  Susan Sarandon  Aleksia Landeau  Ellen Pompeo,2078
  Drama  Thriller  Mystery,49517,  spy  cold war  spying  espionage  mole  british spy,en, StudioCanal  Kinowelt Filmproduktion  Canal+  Cin\u00e9Cin\u00e9ma  Working Title Films  Karla Films,Tinker Tailor Soldier Spy,  John Hurt  Gary Oldman  Kathy Burke  Benedict Cumberbatch  Colin Firth,2079
  Drama  Comedy  Romance,44857,,en, Metro-Goldwyn-Mayer (MGM)  Absolute Entertainment (II)  Cockamamie  Heckerling-Caplan,Molly,  Elisabeth Shue  Aaron Eckhart  Jill Hennessy  Thomas Jane  D.W. Moffett,2080
  Drama,50780,  puppet  woman director,en, Summit Entertainment  Participant Media  Imagenation Abu Dhabi FZ  Anonymous Content,The Beaver,  Jodie Foster  Mel Gibson  Jennifer Lawrence  Anton Yelchin  Zachary Booth,2081
  Comedy,16363,  brothel  corset  crusader  musical  governor  tv reporter  madame  busty  cat house  based on stage musical  based on adaptation  based on article  swearing,en, Universal Pictures  RKO,The Best Little Whorehouse in Texas,  Burt Reynolds  Dolly Parton  Dom DeLuise  Charles Durning  Jim Nabors,2082
  Action  Thriller  Science Fiction  Horror,1946,  video game  hacker  bodyguard  pop star  virtual reality  dystopia  virtual fight,en, Alliance Atlantis Communications  Natural Nylon Entertainment  Serendipity Point Films  T\u00e9l\u00e9film Canada  The Harold Greenberg Fund  The Movie Network  Union G\u00e9n\u00e9rale Cin\u00e9matographique  Canadian Television Fund,eXistenZ,  Jennifer Jason Leigh  Jude Law  Ian Holm  Willem Dafoe  Don McKellar,2083
  Adventure  Action,85,  saving the world  riddle  nepal  himalaya  cairo  moses  egypt  whip  treasure  medallion  leather jacket  nazis  hat  mediterranean  ark of the covenant  ten commandments  treasure hunt  excavation  swastika  archaeologist  indiana jones  archeology\u00a0,en, Lucasfilm  Paramount Pictures,Raiders of the Lost Ark,  Harrison Ford  Karen Allen  Paul Freeman  Ronald Lacey  John Rhys-Davies,2084
  Comedy  Family  Adventure  Crime,772,  holiday  new york  new york city  christmas,en, Twentieth Century Fox Film Corporation  Hughes Entertainment,Home Alone 2: Lost in New York,  Macaulay Culkin  Joe Pesci  Catherine O'Hara  Daniel Stern  John Heard,2085
  Science Fiction  Drama,840,  indiana  obsession  extraterrestrial technology  evacuation  blackout  flying saucer  secret base  light  contact  beguilement  exchange  ufo  alien  vision  missing person  mother ship  escapade  obsessive quest  life turned upside down,en, Columbia Pictures Corporation  EMI Films  Julia Phillips and Michael Phillips Productions,Close Encounters of the Third Kind,  Richard Dreyfuss  Fran\u00e7ois Truffaut  Teri Garr  Melinda Dillon  Bob Balaban,2086
  Horror  Thriller,9682,  suicide  hacker  death of a friend  website  remake,en, Dimension Films,Pulse,  Kristen Bell  Ian Somerhalder  Christina Milian  Rick Gonzalez  Jonathan Tucker,2087
  Action  Comedy  Crime,96,  smuggling of arms  detective  intensive care  undercover  strip club  armored car  investigation  police  swimming pool  sequel  shootout  gunfight  los angeles  explosion  violence  car chase  detroit  horse track  beverly hills  buddy cop  oil field  cement truck  playboy mansion  shooting range,en, Paramount Pictures  Eddie Murphy Productions  Don Simpson/Jerry Bruckheimer Films,Beverly Hills Cop II,  Eddie Murphy  Judge Reinhold  John Ashton  Ronny Cox  Paul Reiser,2088
  Comedy,10678,  prison  ex-boyfriend  support  escape  lawyer,en, Hyde Park Films  Touchstone Pictures,Bringing Down the House,  Steve Martin  Queen Latifah  Eugene Levy  Joan Plowright  Jean Smart,2089
  Crime  Drama  Thriller,274,  based on novel  psychopath  horror  suspense  serial killer  psychological thriller  cannibal  fbi agent  animal in cast credits  cannibalism,en, Orion Pictures  Strong Heart/Demme Production,The Silence of the Lambs,  Jodie Foster  Anthony Hopkins  Scott Glenn  Ted Levine  Anthony Heald,2090
  Music  Comedy,8872,  tv show  heavy metal  television producer  woman director,en, Paramount Pictures,Wayne's World,  Mike Myers  Dana Carvey  Rob Lowe  Tia Carrere  Lara Flynn Boyle,2091
  Comedy  Documentary  Action,16290,  pain  stunts  stuntman  stupidity  comedy  duringcreditsstinger  3d,en, MTV Films,Jackass 3D,  Johnny Knoxville  Bam Margera  Ryan Dunn  Steve-O  Chris Pontius,2092
  Horror  Thriller,579,  mayor  island  police chief  sailing  boat accident  dying and death  panic  current  aggression by animal  sequel  rescue  teenager  shark  great white shark  high-tension current  tourism,en, Universal Pictures,Jaws 2,  Roy Scheider  Lorraine Gary  Murray Hamilton  Joseph Mascolo  Jeffrey Kramer,2093
  Adventure  Comedy  Family,14405,  dog dirt  chihuahua  pinata  potted plant  duringcreditsstinger,en, Walt Disney Pictures,Beverly Hills Chihuahua,  Drew Barrymore  Piper Perabo  Andy Garc\u00eda  George Lopez  Paul Rodr\u00edguez,2094
  Horror  Thriller,138843,  sister sister relationship  exorcism  rhode island  based on true story  farmhouse  paranormal investigation  ghost  supernatural power  paranormal investigator  annabelle,en, New Line Cinema  The Safran Company  Evergreen Media Group,The Conjuring,  Patrick Wilson  Vera Farmiga  Lili Taylor  Ron Livingston  Shanley Caswell,2095
  Adventure  Comedy  Family  Romance,11637,  car journey  macho  road trip  children  pretty woman  trouble,en, Columbia Pictures  Revolution Studios  Cube Vision,Are We There Yet?,  Ice Cube  Nia Long  Aleisha Allen  Philip Bolden  Jay Mohr,2096
  Comedy,226486,,en, New Line Cinema  Gary Sanchez Productions,Tammy,  Melissa McCarthy  Susan Sarandon  Kathy Bates  Allison Janney  Dan Aykroyd,2097
  Comedy  Music,1584,  rock and roll  rock  high school  music band,en, Paramount Pictures  Scott Rudin Productions  Nickelodeon Movies  NEW Century  MFP Munich Film Partners GmbH & Company I. Produktions KG  Sor Productions,School of Rock,  Jack Black  Joan Cusack  Mike White  Sarah Silverman  Adam Pascal,2098
  Action  Fantasy,9312,  martial arts  monster  island  gore  sorcerer  tournament  violence  based on video game  hand to hand combat,en, New Line Cinema  Threshold Entertainment,Mortal Kombat,  Christopher Lambert  Robin Shou  Linden Ashby  Cary-Hiroyuki Tagawa  Bridgette Wilson,2099
  Comedy,12153,  undercover  fbi  fish out of water  high society  buddy cop  crossdressing,en, Columbia Pictures  Revolution Studios  Wayans Bros. Entertainment  Gone North Productions,White Chicks,  Shawn Wayans  Marlon Wayans  Jaime King  Frankie Faison  Maitland Ward,2100
  Comedy  Drama,65057,  hawaii  father-in-law  daughter  cheating wife  beach house  boating accident  estate  dying mother  beautiful girl  teenage daughter  trustee  trust fund  wild girl  wild child  realtor,en, Fox Searchlight Pictures  Dune Entertainment  Ad Hominem Enterprises,The Descendants,  George Clooney  Shailene Woodley  Amara Miller  Nick Krause  Robert Forster,2101
  Adventure  Family  Drama  Comedy,8326,  curse  suitor  false accusations  reference to annabel lee  digging  baseball player  mountain climbing,en, Walt Disney Pictures  Chicago Pacific Entertainment  Walden Media  Phoenix Pictures,Holes,  Sigourney Weaver  Jon Voight  Tim Blake Nelson  Patricia Arquette  Shia LaBeouf,2102
  Drama  Family  Romance,35690,  brother sister relationship  new love  daughter  summer vacation  woman director,en, Touchstone Pictures,The Last Song,  Miley Cyrus  Greg Kinnear  Bobby Coleman  Liam Hemsworth  Hallock Beals,2103
  Drama  History,76203,  whip  kidnapping  slavery  plantation  night shift  violin player  physical abuse  cotton  slave owner  19th century  sold into slavery  abolitionist,en, Plan B Entertainment  Regency Enterprises  River Road Entertainment  Film4  New Regency Pictures,12 Years a Slave,  Chiwetel Ejiofor  Michael Fassbender  Lupita Nyong'o  Benedict Cumberbatch  Paul Dano,2104
  Drama  Romance  Comedy  Music,13497,  music rehearsal  fraternity initiation  television broadcast  white male pretending to be black  sorority party  push ups,en, Fox 2000 Pictures,Drumline,  Nick Cannon  Zoe Saldana  Orlando Jones  Leonard Roberts  GQ,2105
  Comedy  Romance,35688,,en, Lions Gate Films  The Tyler Perry Company,Why Did I Get Married Too?,  Tyler Perry  Janet Jackson  Jill Scott  Sharon Leal  Malik Yoba,2106
  Fantasy  Drama  Romance,162,  underdog  love at first sight  hairdresser  small town  scissors  inventor  burglar  unsociability,en, Twentieth Century Fox Film Corporation,Edward Scissorhands,  Johnny Depp  Winona Ryder  Dianne Wiest  Alan Arkin  Anthony Michael Hall,2107
  Drama  Romance,296096,  england  based on novel  depression  small town  wheelchair  caretaker  caregiver  disabled  twenty something  woman director  romantic drama  dead end job  accident,en, New Line Cinema  Sunswept Entertainment  Metro-Goldwyn-Mayer (MGM),Me Before You,  Emilia Clarke  Sam Claflin  Janet McTeer  Charles Dance  Brendan Coyle,2108
  Drama  Comedy  Crime,103370,,en, Tyler Perry Company  id: 3096}],Madea's Witness Protection,  Tyler Perry  Eugene Levy  Denise Richards  Doris Roberts  Devan Leos,2109
  Action  Crime  Thriller,1051,  police brutality  marseille  night life  attempted murder  drug dealer  drug mule  gangster boss  drug smuggle  undercover agent  hijacking of train  herion,en, Twentieth Century Fox Film Corporation  D'Antoni Productions  Schine-Moore Productions,The French Connection,  Gene Hackman  Fernando Rey  Roy Scheider  Tony Lo Bianco  Marcel Bozzuffi,2110
  Comedy,376659,  alcohol  bar  party  divorce  family  hit and run  bathroom humor,en, STX Entertainment  Huayi Brothers Pictures  BillBlock Media,Bad Moms,  Mila Kunis  Kristen Bell  Kathryn Hahn  Christina Applegate  Jada Pinkett Smith,2111
  Comedy,10073,  date  diary  parents-in-law  bridegroom  wedding,en, Regency Enterprises  Epsilon Motion Pictures  New Regency Pictures,Date Movie,  Alyson Hannigan  Adam Campbell  Sophie Monk  Jennifer Coolidge  Fred Willard,2112
  Adventure  Fantasy  Animation  Family,16690,  animation,en, Walt Disney Pictures  Walt Disney Television Animation  Walt Disney Animation Australia  DisneyToon Studios  Walt Disney Animation Canada,Return to Never Land,  Harriet Owen  Blayne Weaver  Jeff Bennett  Kath Soucie  Corey Burton,2113
  History  Drama,273895,  alabama  martin luther king  president  black american  civil rights  protest march  woman director  selma,en, Plan B Entertainment  Harpo Films  Celador Films  Cloud Eight Films  Path\u00e9,Selma,  David Oyelowo  Tom Wilkinson  Carmen Ejogo  Andr\u00e9 Holland  Omar J. Dorsey,2114
  Family  Animation  Adventure,14873,  river  musical  tiger  village  feral child  sequel  bear  jungle  orphan  vulture  gong  lost  shake  mango,en, Walt Disney Pictures  Walt Disney Television Animation  Walt Disney Animation Australia  DisneyToon Studios,The Jungle Book 2,  John Goodman  Haley Joel Osment  Mae Whitman  Connor Funk  Bob Joles,2115
  Thriller  Horror  Drama  Mystery,8968,  nightmare  hallucination  childhood trauma  break-up  hometown  psychotherapy,en, Ghost House Pictures  Senator International  Screen Gems  Pacific Renaissance Pictures Ltd.,Boogeyman,  Emily Deschanel  Barry Watson  Skye McCole Bartusiak  Lucy Lawless  Tory Mussett,2116
  Thriller  Drama  Mystery,9963,  deja vu  dying and death  time travel  loss of husband  car crash,en, TriStar Pictures  Hyde Park Films  Offspring Entertainment,Premonition,  Sandra Bullock  Julian McMahon  Courtney Taylor Burness  Nia Long  Shyann McClure,2117
  Animation  Family,15655,  owl  donkey  tiger  piglet  bear  rabbit  woman director,en, Walt Disney Pictures,The Tigger Movie,  Jim Cummings  Nikita Hopkins  Ken Sansom  John Fiedler  Peter Cullen,2118
  Horror  Thriller  Mystery,21208,  nun  deaf-mute  orphan  all girl  troubled marriage  aftercreditsstinger  duringcreditsstinger,en, Dark Castle Entertainment  Studio Babelsberg StudioBabelsberg Motion Pictures  Don Carmody Productions  Studio Canal,Orphan,  Vera Farmiga  Peter Sarsgaard  Isabelle Fuhrman  CCH Pounder  Jimmy Bennett,2119
  Adventure  Drama  Family,272878,  afghanistan  war  based on true story  rescue  betrayal  dog  grieving,en, Sunswept Entertainment  Warner Bros.  Metro-Goldwyn-Mayer (MGM)  Reel Chefs Catering,Max,  Thomas Haden Church  Josh Wiggins  Lauren Graham  Robbie Amell  Mia Xitlali,2120
  Action  Adventure  Comedy,9760,,en, Twentieth Century Fox Film Corporation  Regency Enterprises  New Regency Pictures  Paul Schiff Productions,Epic Movie,  Kal Penn  Adam Campbell  Jennifer Coolidge  Jayma Mays  Faune A. Chambers,2121
  Drama  Thriller  History,314365,  child abuse  journalism  judge  florida  boston  pedophilia  court  cover-up  priest  lawyer  catholic  catholic church  catholicism  september 11 2001  investigative journalism  cardinal  christmas,en, Universal Pictures  Participant Media  Anonymous Content  Rocklin / Faust  First Look Media,Spotlight,  Mark Ruffalo  Michael Keaton  Rachel McAdams  Liev Schreiber  John Slattery,2122
  Drama  Crime  Thriller,13279,  vandalism  harassment  neighbor  house party  shot to death  pregnancy  urination  interracial couple  lapd  air conditioner,en, Screen Gems  Overbrook Entertainment,Lakeview Terrace,  Samuel L. Jackson  Patrick Wilson  Kerry Washington  Ron Glass  Justin Chambers,2123
  Horror  Thriller,1975,  remake  little boy  curse,en, Columbia Pictures Corporation  Ghost House Pictures  Vertigo Entertainment,The Grudge 2,  Sarah Michelle Gellar  Amber Tamblyn  Edison Chen  Arielle Kebbel  Jennifer Beals,2124
  Comedy  Drama  Romance,33644,  black people  age difference  jamaica  vacation  female protagonist,en, Twentieth Century Fox Film Corporation,How Stella Got Her Groove Back,  Angela Bassett  Taye Diggs  Whoopi Goldberg  Regina King  Suzzanne Douglas,2125
  Adventure  Comedy  Family  Fantasy  Science Fiction,1649,  future  dying and death  heaven  time travel  heavy metal  diabolical ego  afterlife  metal  robot  devil  doppelganger  seance,en, Orion Pictures  Nelson Entertainment,Bill & Ted's Bogus Journey,  Keanu Reeves  Alex Winter  George Carlin  William Sadler  Joss Ackland,2126
  Comedy  Drama  Romance  Thriller,9895,  usa president  presidential election  comedian,en, Universal Pictures  Morgan Creek Productions,Man of the Year,  Robin Williams  Christopher Walken  Laura Linney  Lewis Black  Jeff Goldblum,2127
  Adventure  Family  Science Fiction  Action,9570,  killer robot  space marine  ghost ship  black hole,en, Walt Disney Productions,The Black Hole,  Maximilian Schell  Anthony Perkins  Robert Forster  Joseph Bottoms  Ernest Borgnine,2128
  Crime  Drama  Thriller,27579,  prostitute  sweden  suspense  priest  very little dialogue,en, This Is That Productions  Focus Features  Twins Financing  Smokehouse Pictures  Greenlit Rights,The American,  George Clooney  Violante Placido  Thekla Reuten  Paolo Bonacelli  Johan Leysen,2129
  Drama,16052,  musical  tejano  elopement  bustier  fan club,en, Q Productions  Esparza / Katz Productions,Selena,  Jennifer Lopez  Edward James Olmos  Constance Marie  Jon Seda  Lupe Ontiveros,2130
  Horror  Comedy,40264,  vampire  high school  prom  spoof  horror spoof  teenager  duringcreditsstinger,en, Regency Enterprises  Road Rebel,Vampires Suck,  Chris Riggi  Matt Lanter  Jenn Proske  Ken Jeong  Bradley Dodds,2131
  Drama,1164,  terror  loss of mother  gun  morocco  deaf-mute  san diego  ecstasy  illegal immigration  first time  nanny  daughter  bullet wound  ensemble cast,en, Paramount Vantage  Media Rights Capital  Anonymous Content  Central Films,Babel,  Brad Pitt  Cate Blanchett  Gael Garc\u00eda Bernal  Rinko Kikuchi  Adriana Barraza,2132
  Drama  Comedy,239678,  based on novel  funeral  dysfunctional family  death of father  man child  family  mourning  grieving,en, Spring Creek Productions  21 Laps Entertainment  Warner Bros.,This Is Where I Leave You,  Jason Bateman  Tina Fey  Adam Driver  Rose Byrne  Corey Stoll,2133
  Drama  Mystery,14359,  sexual abuse  boy  wine  gift  janitor  singing  pedophile  gossip  compassion  tolerance  1960s,en, Scott Rudin Productions  Goodspeed Productions,Doubt,  Meryl Streep  Philip Seymour Hoffman  Amy Adams  Viola Davis  Alice Drummond,2134
  Music  Adventure  Animation  Action  Comedy,3989,  paris  france  cairo  capitalism  loss of lover  egypt  war against terror  shotgun  patriotism  pentagon  american dream  destroy  shipwreck  louvre  american  way of life  failure  panama  damage  government  eiffel tower paris  world politics  mass destruction,en, Paramount Pictures  Scott Rudin Productions,Team America: World Police,  Trey Parker  Matt Stone  Kristen Miller  Masasa Moyo  Daran Norris,2135
  Horror  Thriller,76617,  sequel  gore  leatherface  slasher  chainsaw  aftercreditsstinger  duringcreditsstinger,en, Nu Image Films  Lions Gate,Texas Chainsaw 3D,  Alexandra Daddario  Dan Yeager  Bill Moseley  Marilyn Burns  Tania Raymonde,2136
  Drama  Thriller,1710,  police brutality  psychology  police operation  police protection  serial killer  psychologist  cowardliness,en, Regency Enterprises  New Regency Pictures,Copycat,  Sigourney Weaver  Holly Hunter  Will Patton  William McNamara  Harry Connick Jr.,2137
  Comedy,4258,  sequel  parody  spoof  aftercreditsstinger  duringcreditsstinger,en, Dimension Films,Scary Movie 5,  Simon Rex  Ashley Tisdale  Charlie Sheen  Lindsay Lohan  Erica Ash,2138
  Drama  Action  Comedy  Western  Music,20391,  mining  prospector,en, Paramount Pictures  Malpaso Productions  Alan Jay Lerner Productions,Paint Your Wagon,  Lee Marvin  Clint Eastwood  Jean Seberg  Harve Presnell  Ray Walston,2139
  History  Drama,10139,  gay  san francisco  homophobia  mayor  biography  politics  politician  election campaign  homosexuality  morality  election  candlelight vigil  mayoral campaign,en, Focus Features,Milk,  Sean Penn  Emile Hirsch  James Franco  Josh Brolin  Diego Luna,2140
  Action,335778,  christianity  jesus christ  apostle  crucifixion  jerusalem  ancient rome  faith  resurrection  dead body  judaism  religious  tomb,en, Columbia Pictures  Affirm Films  LD Entertainment  Patrick Aiello Productions,Risen,  Tom Felton  Cliff Curtis  Joseph Fiennes  Peter Firth  Mark Killeen,2141
  Horror  Mystery  Thriller,9645,  cruise  pilot  ghost ship,en, Village Roadshow Pictures  NPV Entertainment  Dark Castle Entertainment  Warner Bros.  Ghost Ship Films Pty. Ltd.,Ghost Ship,  Gabriel Byrne  Julianna Margulies  Desmond Harrington  Ron Eldard  Isaiah Washington,2142
  Comedy,55465,  holiday  indian lead  beer  christmas tree  cannabis  sequel  vulgarity  drug  asian  3d  beer pong,en, New Line Cinema  Mandate Pictures,A Very Harold & Kumar Christmas,  Neil Patrick Harris  John Cho  Elias Koteas  Danneel Ackles  Kal Penn,2143
  Crime  Drama  Mystery,617,  upper class  poison  sailboat  rape  sexual abuse  florida  eroticism  blackmail  lolita  cheerleader  court case  planned murder  sailing  pretended murder  seduction  bisexuality  alligator  crocodile  everglades  heart-throb  white trash  menage a trois  intellectually gifted  harpoon  van  plan  court  single  millionaire  extramarital affair  duringcreditsstinger,en, Columbia Pictures  Mandalay Entertainment,Wild Things,  Matt Dillon  Kevin Bacon  Denise Richards  Neve Campbell  Theresa Russell,2144
  Horror  Thriller  Mystery,19904,  step father  remake,en, Screen Gems,The Stepfather,  Dylan Walsh  Sela Ward  Penn Badgley  Amber Heard  Sherry Stringfield,2145
  Drama  Thriller,48289,  beach  mossad  secret agent  insane asylum  lye  syringe  lost of friend,en, Miramax Films  Marv Films  Pioneer Pictures,The Debt,  Helen Mirren  Ciar\u00e1n Hinds  Tom Wilkinson  Jessica Chastain  Sam Worthington,2146
  Comedy  Drama  Romance  Music,243,  chicago  music record  rock and roll  record store  soul  disc jockey  pop  bruce frederick joseph springsteen  record collection,en, Buena Vista  Touchstone Pictures,High Fidelity,  John Cusack  Iben Hjejle  Todd Louiso  Jack Black  Lisa Bonet,2147
  Horror  Mystery  Thriller,6933,  candy  loss of sister  mobile phone  answering machine  dying and death  victim  death of a friend  sms  asthma  friendship  police  delusion  remake  cowardliness  train,en, Intermedia Films  Alcon Entertainment  Kadokawa Pictures  Equity Pictures Medienfonds GmbH & Co. KG IV,One Missed Call,  Shannyn Sossamon  Edward Burns  Ana Claudia Talanc\u00f3n  Ray Wise  Azura Skye,2148
  Drama  Thriller,17182,  rape  gun  self-defense  grieving parents,en, Paramount Pictures,Eye for an Eye,  Sally Field  Kiefer Sutherland  Ed Harris  Beverly D'Angelo  Charlayne Woodard,2149
